conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_file
1897798114561736801,2025-03-06T23:55:04.000Z,0,Sinergi Koperasi Desa Merah Putih untuk entaskan kemiskinan  https://t.co/hgx3LrPlbh https://t.co/EtJF9zytFE,1897798114561736801,https://pbs.twimg.com/media/GlZVUmWbwAESh4k.png,,in,,0,0,0,https://x.com/webelshinta/status/1897798114561736801,1482999200988434435,webelshinta,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897796603077181777,2025-03-06T23:49:04.000Z,1,"Sinergi Koperasi Desa Merah Putih untuk entaskan kemiskinan

https://t.co/EIt5gSIYGJ",1897796603077181777,,,in,,0,0,0,https://x.com/RadioElshinta/status/1897796603077181777,121640063,RadioElshinta,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897769631793733978,2025-03-06T22:01:53.000Z,0,"Koperasi Desa Merah Putih dapat Penolakan dari Kades, Tere Liye: Kok Mau Demo Idola 58 Persen 
https://t.co/5xZi3yV1Cx",1897769631793733978,,,in,,0,0,0,https://x.com/fajaronline/status/1897769631793733978,89877164,fajaronline,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897762576681058483,2025-03-06T21:33:51.000Z,1,"Kami berharap program ini bisa menjadi sinergi yang kuat antara kementerian, untuk memberdayakan masyarakat dan mengurangi kemiskinan,"" jelas @agusjabo333 @GusIpul_ID @KemensosRI

#KemensosSelaluAda

https://t.co/dm0RCRaPon",1897762576681058483,,,in,,0,0,1,https://x.com/AlifKamal__/status/1897762576681058483,1177408928105152512,AlifKamal__,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897760761759645906,2025-03-06T21:26:38.000Z,2,"Program Koperasi Desa Merah Putih itu sejatinya dijalankan oleh Kementerian Koperasi yang bersinergi dengan @KemensosRI dalam pengentasan kemiskinan, terutama di kawasan pedesaan @agusjabo333 @GusIpul_ID

#KemensosSelaluAda

https://t.co/Kw9XFUuAMd",1897760761759645906,,,in,,0,0,4,https://x.com/AlifKamal__/status/1897760761759645906,1177408928105152512,AlifKamal__,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897690483960561814,2025-03-06T16:47:23.000Z,0,https://t.co/OH9zVY4Fc2  Sebagai tindak lanjut dari keputusan rapat terbatas bersama Presiden RI Prabiwo Subianto pada Senin (03/03) lalu terkait dengan rencana pembentukan 70 ribu Koperasi Desa (Kop Des) Merah Putih #koperasi #koperasiindonesia #kemenkopukm #ukm #desa,1897690483960561814,,,in,,0,0,0,https://x.com/Jurnalpatroli_/status/1897690483960561814,1507307226058223618,Jurnalpatroli_,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897676367216730189,2025-03-06T15:51:17.000Z,1,"@KemensosRI berupaya agar masyarakat miskin dapat mendapatkan akses untuk bekerja atau berusaha, melalui penciptaan lapangan usaha yang lebih banyak @agusjabo333 @GusIpul_ID

#KemensosSelaluAda

https://t.co/furTESU5Ad",1897676367216730189,,KemensosRI,in,,0,0,1,https://x.com/AlifKamal__/status/1897676367216730189,1177408928105152512,AlifKamal__,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897669580895797591,2025-03-06T15:24:48.000Z,7,"Dalam Rapat Pembentukan Koperasi Desa Merah Putih, Kamis (6/3), Wamensos @agusjabo333 menegaskan dukungan Kemensos dalam sinergi ini, memastikan masyarakat miskin dan miskin ekstrem tidak hanya menerima bantuan, tetapi juga diberdayakan agar mandiri secara ekonomi. https://t.co/33wKNP9l8U",1897669703507808614,https://pbs.twimg.com/amplify_video_thumb/1897669584939028480/img/nQnAC4jJi4SjavBG.jpg,KemensosRI,in,,0,2,2,https://x.com/KemensosRI/status/1897669703507808614,2889531644,KemensosRI,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897664813259751714,2025-03-06T15:05:23.000Z,0,Cocok untuk investasi desa-desa di Kalimantan. Lebih baik tanam gaharu dari pada kelapa sawit. Pengelolaan lewat 'koperasi merah putih' sehingga rasa memiliki lebih tinggi dibandingkan dgn skema BUMDes.@RajaJuliAntoni,1897664813259751714,,,in,,0,0,0,https://x.com/didit_ekoy/status/1897664813259751714,52006653,didit_ekoy,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
1897659910936240308,2025-03-06T14:45:54.000Z,3,"Koperasi tidak hanya memberikan bantuan, tetapi juga memberdayakan masyarakat untuk mandiri secara ekonomi @agusjabo333 @GusIpul_ID @KemensosRI

#KemensosSelaluAda

https://t.co/sREf87TDAd",1897659910936240308,,,in,,0,0,3,https://x.com/AlifKamal__/status/1897659910936240308,1177408928105152512,AlifKamal__,Koperasi_Desa_Merah_Putih_OR_#KoperasiMerahPutih_since_2025-03-01_until_2025-03-07_lang_id.csv
