conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1885976330124284072,2025-02-02 09:07:48+00:00,2,"@Ma_yehun llm code is only allowed if I have used the debugger first and spent at least 30 minutes staring at a section

If I'm reading a textbook I'll have the llm construct an exercise for me to do &amp; force myself to not absorb too much ""theory""",1885978413619724384,,granderojo,en,,0,1,0,https://x.com/granderojo/status/1885978413619724384,18709356,granderojo
1886004558888886542,2025-02-02 10:51:41+00:00,3,"Microservices are often criticized for complexity, but with LLM-assisted coding, they might be the optimal setup. LLMs enforce API contracts, auto-generate infra, and handle debugging—turning microservices from a burden into an advantage. #AI #Microservices",1886004558888886542,,,en,,0,0,1,https://x.com/TTeemu1/status/1886004558888886542,720307362121142273,TTeemu1
1886192184808149383,2025-02-03 00:53:46+00:00,8,"@CtrlAltDwayne @karpathy the difference is libraries are written as interfaces/APIs. LLM code is typically written as a direct solution to solve the immediate problem, and has a very specific solution. This method tends to create tech debt if not used carefully",1886216474093621282,,CtrlAltDwayne,en,,0,0,0,https://x.com/mothra_visu/status/1886216474093621282,1856039604367044614,mothra_visu
1886259320582492215,2025-02-03 03:56:59+00:00,8,"@burkov This is what I was thinking as I read this.

I find that LLM coding is most effective when I delegate specific, narrowly-defined pieces to it that I can proof and then incorporate.",1886262584300519513,,burkov,en,,0,1,1,https://x.com/tthomson/status/1886262584300519513,1566892557531025410,tthomson
1886192184808149383,2025-02-03 06:37:05+00:00,3,"@karpathy The democratization of coding. Just like Canva vs Photoshop. There are levels… but many ideas can be LLMed. Yes the world is changing. And today is the worst LLM code will ever be. 

I’m all in. 

It’s a skill… it’s not straight forward and it requires some patience but I built",1886302875334160572,,karpathy,en,,1,1,0,https://x.com/batsirai/status/1886302875334160572,14424886,batsirai
1886575259127832838,2025-02-04 00:39:27+00:00,4,"Term of the day - ""vibe coding""

Need to try this. As a programmer who moved from literally machine language programming, then assembly, then BASIC / Pascal / Java / C / C++ / Python, I find a huge mental block in letting the LLM 'code for me' 

Time to accept and jump to Cursor",1886575259127832838,,,en,,0,1,1,https://x.com/sviyer/status/1886575259127832838,14475837,sviyer
1886737716156776494,2025-02-04 11:31:44+00:00,3,@debasishg I mostly do rage coding with LLM,1886739410495889772,,debasishg,en,,0,0,0,https://x.com/codeofchange/status/1886739410495889772,37674063,codeofchange
1886467254537347152,2025-02-04 14:14:09+00:00,2,"@kerckhove_ts I agree with you, however I did have a good LLM coding experience recently where I had a vague idea of a feature I needed to implement for a personal project. I used GPT to help me finish the outline of my idea and then did the code implementation myself. Was good",1886780287436153011,,kerckhove_ts,en,,0,0,0,https://x.com/wcrb15/status/1886780287436153011,1897905878,wcrb15
1886790603989782757,2025-02-04 14:55:09+00:00,12,"For some reason, hot chicks with 1 follower really like my recent LLM code generation posts.

Things are really changing in the world of software 😍",1886790603989782757,,,en,,0,1,0,https://x.com/samgoodwin89/status/1886790603989782757,2753075366,samgoodwin89
1886467254537347152,2025-02-04 16:34:05+00:00,1,"@catalinmpit @kerckhove_ts What I am suggesting is that anyone dismissing LLM coding sounds about as ridiculous as the experts dismissing the utility of mechanical calculators, because those machines can never be as good as a human calculator.",1886815499381834157,,catalinmpit,en,,0,1,0,https://x.com/Iwhoaminane/status/1886815499381834157,250450613,Iwhoaminane
