conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1909770568200863803,2025-04-09T00:49:19.000Z,1538,"Gue itu kaget waktu diundang bukber, soalnya lagi getol2nya kritik Pak @aniesbaswedan mulai dari soal Ormas hingga RUU TNI. Ini ketawa2 pun gara2 gue ngomong “Saya akan tetap mengkritisi Bapak ya,” yang dijawab “Hahaha iya dong, ini yg membedakan kita dengan yg lain.” https://t.co/Y54uRuBag3",1909770568200863803.1,https://pbs.twimg.com/media/GoDeMntbwAES6_R.jpg,Unnamed: 6,in,Unnamed: 8,3,12,153,https://x.com/kozirama/status/1909770568200863803,53360203,kozirama,1908855321931796780,2025-04-06T12:12:28.000Z,7624,"Wawancara dengan 6 pemimpin redaksi, yg dimoderatori host dari TVRI ini akan tayang besok sore di media masing2. Wawancara berlangsung 3 jam. Full on the record. Soal demonstrasi, RUU TNI, RUU Polri sampai kepala babi dan komunikasi pemerintah ditanyakan. Termasuk Tarif Trump😊",1908855321931796780.1,Unnamed: 5,411,366,1346,https://x.com/unilubis/status/1908855321931796780,85087815,unilubis,1912767564188418476,2025-04-17T07:18:19.000Z,11570,Presiden Prabowo Subianto telah resmi mengesahkan RUU TNI sejak sebelum lebaran 2025. Hal ini dikonfirmasi oleh Menteri Sekretaris Negara Prasetyo Hadi. https://t.co/Aa7wQEaPAP,1912767564188418476.1,https://pbs.twimg.com/media/GouC7OEacAIoTQ_.jpg,1170,739,2582,https://x.com/asumsico/status/1912767564188418476,829366551446818816,asumsico
1.8971973942799729e+18,2025-03-05T08:08:01.000Z,17.0,"RUU Polri TNi kejaksaan, tiket menjadi penguasa tanpa batas https://t.co/nnAuztis4A",1.8971973942799729e+18,https://pbs.twimg.com/ext_tw_video_thumb/1897197126536531968/pu/img/C_9XbnCvHvapWbyF.jpg,,in,,1.0,1.0,7.0,https://x.com/creeping5ilence/status/1897197394279972969,1100609875.0,creeping5ilence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.89688451150352e+18,2025-03-04T11:24:44.000Z,207.0,"DPR RI telah menerima surat Presiden (surpres) penunjukan wakil pemerintah terkait Revisi UU TNI Polri &amp; Kejaksaan.

Sementara di luar kian ramai yang menolak RUU ini, karena akan membuat Institusi tsb superbody. kalo dipaksakan dikhawatirkan semakin menambah ketidakpastian dalam https://t.co/bOKKX5fQMk",1.89688451150352e+18,https://pbs.twimg.com/media/GlMWaQDa0AArUX-.jpg,,in,,6.0,11.0,102.0,https://x.com/KangManto123/status/1896884511503520081,9.47632364003369e+17,KangManto123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.896776726577132e+18,2025-03-04T04:16:26.000Z,12.0,"RDPU dengan LSM (Setara Institute dan Centra Initiative) sudah dimulai guys. Stance kedua LSM tersebut menolak RUU TNI, silakan coba disimak. https://t.co/laBfCuJ7eS",1.896776726577132e+18,https://pbs.twimg.com/media/GlK0YXsbkAAllMX.jpg,,in,,0.0,1.0,3.0,https://x.com/NasaStarss/status/1896776726577131979,1.8482898023132078e+18,NasaStarss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.896827751354794e+18,2025-03-04T07:39:11.000Z,2.0,"#SobatHI, pengawalan publik terhadap dinamika RUU TNI perlu terus dijaga.

Reformasi 1998 telah menetapkan bahwa militer harus berfokus pada pertahanan nasional dan meninggalkan peran dalam politik praktis serta kekuasaan di pemerintahan. https://t.co/MwtlMksFTo",1.896827751354794e+18,https://pbs.twimg.com/media/GlLiyKXacAAXAmC.jpg,,in,,0.0,1.0,0.0,https://x.com/intrelationsuii/status/1896827751354794105,476852352.0,intrelationsuii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8969289417028733e+18,2025-03-04T14:21:17.000Z,103.0,"""Loyalitas Ganda di jabatan sipil itu hanya bisa terjadi jika mereka (TNI) pensiun dini,"" Al Araf dalam RDPU dengan komisi I DPR RI terkait RUU TNI

Bahaya bila TNI aktif menjabat di pos jabatan sipil. Dia harus loyal kepada Institusi TNI sebagai Prajurit, juga harus loyal kepada https://t.co/VKaobUMCRM",1.8969289417028733e+18,https://pbs.twimg.com/ext_tw_video_thumb/1896928861947875329/pu/img/dNn8ZB_w-w8YOtyH.jpg,,in,,2.0,7.0,28.0,https://x.com/JhonSitorus_18/status/1896928941702873394,1.1024618661297766e+18,JhonSitorus_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.896878538260644e+18,2025-03-04T11:01:00.000Z,13.0,"Ketua Komisi I DPR, Utut Adianto, jawab gelombang penolakan terhadap RUU TNI. Ia menyebut kekhawatiran RUU TNI Kembali ke Orde Baru tak akan terjadi. https://t.co/QMVbQMWgo4",1.896878538260644e+18,,,in,,0.0,5.0,3.0,https://x.com/detikcom/status/1896878538260644107,69183155.0,detikcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8972081431906757e+18,2025-03-05T08:50:44.000Z,14.0,"RUU TNI ini lagi dibahas di DPR.
Kalau disetujui otomatis Dwifungsi ABRI akan dihidupkan kembali (Neo Orba).

Semakin gelap aja negara kita ini 🤦 https://t.co/G1wQLbQS9q",1.8972081431906757e+18,https://pbs.twimg.com/media/GlQ8kdxawAA4k1V.jpg,,in,,0.0,5.0,7.0,https://x.com/KangManto123/status/1897208143190675719,9.47632364003369e+17,KangManto123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.896780390947259e+18,2025-03-04T04:31:00.000Z,8.0,"Gelombang penolakan terhadap revisi UU TNI, UU Polri, dan UU Kejaksaan menguat. Revisi UU pada institusi penegak hukum itu dinilai masih ada pro-kontra. https://t.co/qN1sCVCGhk",1.896780390947259e+18,,,in,,0.0,3.0,1.0,https://x.com/detikcom/status/1896780390947258758,69183155.0,detikcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8972534588452577e+18,2025-03-05T11:50:48.000Z,12.0,"Dari berbagai kalangan rame-rame menolak RUU TNI - Polri dan Kejaksaan. 

Boleh berbenah tapi yg memihak pada kepentingan negara dan rakyat jangan yg menguntungkan sebelah pihak. 

Bekasi Canada Ada Diskon Sampai 80persen https://t.co/HFVyvO6uLp",1.8972534588452577e+18,https://pbs.twimg.com/media/GlRl93Ga4AAim3S.jpg,,in,,0.0,3.0,9.0,https://x.com/Roebanie/status/1897253458845257754,549854264.0,Roebanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.89689388440558e+18,2025-03-04T19:28:18.000Z,3.0,"Tolak.RUU TNI 

https://t.co/xK1fHajqeL",1.897006203517215e+18,,PaltiWest,in,,0.0,1.0,1.0,https://x.com/PaltiWest/status/1897006203517214881,1.826886526657319e+18,PaltiWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
