"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1886362534749352416","2025-02-03T10:34:09.000Z","214","Rasanya Pak @prabowo sudah diberitahu, hati2 dengan menteri eks Moelyono, nah skr kejadian lagi kan 😴

Catatan
Sebelumnya kasus PPN 12% (SMI), kasus pagar laut (SWT), alih fungsi hutan (RJA), kasus judol (BAS), dll. https://t.co/WiVP8Zty0S","1886362534749352416","https://pbs.twimg.com/media/Gi20m-XaQAAyrAl.jpg","","in","","3","10","140","https://x.com/hipohan/status/1886362534749352416","227320530","hipohan"
"1887354711483031902","2025-02-06T04:16:43.000Z","10860","Perasaan ini Presiden ngomongnya bagus-bagus terus:
- ""Pendidikan dan kesehatan prioritas utama.""
- ""PPN 12% hanya untuk barang mewah.""
- ""Peraturan pengecer elpiji 3 kg dilarang, saya cabut""
- ""Yang tidak mau bekerja untuk rakyat, kita singkirkan.""

***

Tapi bawahannya","1887354711483031902","","","in","","91","245","2004","https://x.com/ardisatriawan/status/1887354711483031902","170542374","ardisatriawan"
"1886262859115741412","2025-02-03T03:58:05.000Z","88","Sadar ga sih :

- parcok makin menggila
- ppn 12%, pajak prosen kendaraan 66%
- laut ber SHM, rumah ber SHM digusur
- gas melon langka, bbm non pertamina langka
- PSN merugikan rakyat

Ini kabinet kerjanya kok nyusahin rakyat??? https://t.co/r4w37WQZUU","1886262859115741412","https://pbs.twimg.com/ext_tw_video_thumb/1886261721779871744/pu/img/3f0F0nyJmql-uGrB.jpg","","in","","5","4","49","https://x.com/toe_giman/status/1886262859115741412","1336576386987790336","toe_giman"
"1887308392181735852","2025-02-06T01:12:39.000Z","26436","-Afif dibunuh polisi
-Gamma dibunuh polisi
-Erlin Wagatu dibunuh TNI
-Bos rental dibunuh TNI
-TNI menyerang warga Deli Serdang
-Akun pengkritik PPN 12% diretas
-Lansia meninggal antre LPG

Menteri HAM, tapi standarnya mentok di warga belum ditahan karena kritik pejabat. Suram","1887308392181735852","","","in","","135","314","10569","https://x.com/Mythicalforest/status/1887308392181735852","1206518264811020289","Mythicalforest"
"1874343160660521161","2025-01-01T06:33:27.000Z","25358","Kesimpulan:

PPN gak balik ke 11%

Tapi jadi (11/12)*12%

🤡 😂","1874343160660521161","","","in","","636","377","6409","https://x.com/ardisatriawan/status/1874343160660521161","170542374","ardisatriawan"
"1886447263758860784","2025-02-03T16:10:50.000Z","1","Oo saya baru tahu, gara-gara pake NAMA : ""KAPAL"" Kopi ""kapal api"" jadi termasuk BARANG MEWAH jd dech Makin mahal karena Kena PPN 12% 😂 https://t.co/XVSgqRmeaY","1886447263758860784","https://pbs.twimg.com/ext_tw_video_thumb/1886447240878989312/pu/img/Pc3Pv1h8TPqyV_HK.jpg","","in","","0","0","0","https://x.com/WeKa_Ronin/status/1886447263758860784","1383295518374121475","WeKa_Ronin"
"1887073842574807516","2025-02-05T09:40:38.000Z","1","Perkara PPN 12% emang bikin ribet semua orang. https://t.co/jV5Xs05sJF","1887073842574807516","https://pbs.twimg.com/media/GjA7ospaEAAJqbj.png","","in","","0","0","0","https://x.com/adhams/status/1887073842574807516","14284867","adhams"
"1886624792213905883","2025-02-04T03:56:19.000Z","4","Pertanda bahwa segala problem sistemik-struktural untuk kesejahteraan &amp; keadilan bersama yg ada di hulu, ngga akan pernah serius dibenahi.
Malah ""dipelihara"" agar bisa jd senjata naikin image o/ Para Pencandu Savior Complex gini.

Dari Perpres UU Cilaka, PPN 12%, s.d Elpiji.. 😮‍💨 https://t.co/cpMKuk7WIE","1886624803832070574","https://pbs.twimg.com/media/Gi6jQrea4AAsAqq.jpg","kopididid","in","","0","1","1","https://x.com/kopididid/status/1886624803832070574","1049711295799296001","kopididid"
"1887375146463498746","2025-02-06T05:37:55.000Z","534","UNTUNG PRABOWO PRESIDENNYA
Jadi kasus2 ini tidak akan dilanjutkan : 
-Afif dibunuh polisi
-Gamma dibunuh polisi
-Erlin Wagatu dibunuh TNI
-Bos rental dibunuh TNI
-TNI menyerang warga Deli Serdang
-Akun pengkritik PPN 12% diretas
-Lansia meninggal antre LPG","1887375146463498746","","","in","","1","12","80","https://x.com/Horien0/status/1887375146463498746","1498467478523232256","Horien0"
"1874636451918524590","2025-01-02T01:58:53.000Z","667","Kok bisa gini ya??? 😲

📽fb
// PPN 12% Ojol CPNS https://t.co/6KmdfjSxm9","1874636451918524590","https://pbs.twimg.com/ext_tw_video_thumb/1874636286411358208/pu/img/KWGnjMfYImguJ9Rn.jpg","","in","","13","86","58","https://x.com/RA_leather/status/1874636451918524590","267060883","RA_leather"
