"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1929583382570140159","2025-06-02T21:53:34.000Z","0","@swintii8291 Rencana pembahasan RUU Perampasan Aset dijaga biar tetap prioritas setelah KUHAP resmi","1929657672078672012","","swintii8291","in","","0","0","0","https://x.com/wangi_0708/status/1929657672078672012","1859110294955716610","wangi_0708"
"1929633741544337888","2025-06-02T20:18:29.000Z","0","RUU Perampasan Aset bakal langsung masuk prioritas usai KUHAP clear #RUUPerampasanAset https://t.co/BfZD5l9p5I","1929633741544337888","https://pbs.twimg.com/ext_tw_video_thumb/1929633629338324996/pu/img/UU6ruvb46w9BQDqf.jpg","","in","","0","0","0","https://x.com/barvitone/status/1929633741544337888","787929592627691520","barvitone"
"1929569558819393642","2025-06-02T16:03:27.000Z","0","Prof.Dr.Hardi Fardiansyah Soroti Resiko Tinggi Pemerintah Jika Sahkan RUU KUHAP, Abaikan Prinsip Prinsip Dasar Keadilan https://t.co/LRiP3lxdb5","1929569558819393642","","","in","","0","0","0","https://x.com/BSupli59255/status/1929569558819393642","1756636056810860544","BSupli59255"
"1929497644944245103","2025-06-02T11:17:41.000Z","2","Bukan hanya RUU KUHAP saja, RUU Kejaksaan, UU TNI, dan Perpres No 66/2025, sangat memungkinkan menjadikan satu ""instansi"" superbody ! buat apa coba ? disaat sang pemimpin slalu pidato ""asing2"" ""adu domba"" ! oalah kemprus sebab negara ini hidup bukan dari emas minyak batubara dan https://t.co/VUR7ina9Z1","1929497644944245103","https://pbs.twimg.com/media/Gsbz4dDbgAADU2t.jpg","","in","","0","0","1","https://x.com/Penyair_Berdiri/status/1929497644944245103","1240137086331748352","Penyair_Berdiri"
"1929488160750219298","2025-06-02T10:40:00.000Z","3","Implementasi kamera pengawas dalam pemeriksaan tersangka ini perlu diantisipasi terutama di daerah yang berpotensi menghadapi kendala.  https://t.co/tTWvqKeS97","1929488160750219298","","","in","","0","0","2","https://x.com/HukumOnline/status/1929488160750219298","125297822","HukumOnline"
"1929485644512010356","2025-06-02T10:30:00.000Z","1","Memperkuat pengawasan terhadap kinerja aparat penegak hukum. Peran pengadilan diperlukan melakukan pengawasan terutama kewenangan aparat melakukan upaya paksa. https://t.co/ojZ4rU0IfT","1929485644512010356","","","in","","0","0","1","https://x.com/HukumOnline/status/1929485644512010356","125297822","HukumOnline"
"1929462584337633670","2025-06-02T08:58:27.000Z","1","Bukannya dibenahi, pola pelanggaran hukum acara pidana ini justru dipertahankan dan berpotensi makin marak jika draf RUU KUHAP disahkan.

Kalau prosedur terus dilanggar, siapa pun bisa jadi korban berikutnya. Karena #SemuaBisaKena jika RUU KUHAP disahkan tanpa perubahan https://t.co/LEVQbrhftV","1929462605552513073","https://pbs.twimg.com/media/GsbRO11akAAHbEg.jpg","ICJRid","in","","0","0","0","https://x.com/ICJRid/status/1929462605552513073","93775761","ICJRid"
"1929409143586058572","2025-06-02T05:26:01.000Z","0","Pakar Umsida: RUU KUHAP dan UU Kejaksaan Berpotensi Timbulkan Ketimpangan

#TolakRUUKejaksaan Audinna Senin Sara Duterte Kalau https://t.co/GZYRpMuT1H","1929409143586058572","https://pbs.twimg.com/media/GsajSlQbsAA4BS4.png","","in","","0","0","0","https://x.com/PinoyAkoIkaw/status/1929409143586058572","196119098","PinoyAkoIkaw"
"1929352916751777907","2025-06-02T01:42:35.000Z","7","Dan.. 
saat UU dan RUU anti sipil di sahkan, 
itulah bentuk penghianatan terhadap nilai-nilai hakiki Pancasila itu sendiri.. 

Tolak RUU KUHAP, Polri, dan Kejaksaan
Cabut UU TNI.. https://t.co/7mASjFX2mM","1929352916751777907","https://pbs.twimg.com/amplify_video_thumb/1929352380518408192/img/0c5gSMHnyR1J9_qR.jpg","","in","","0","0","4","https://x.com/Mi9aWempy/status/1929352916751777907","990916402797146113","Mi9aWempy"
"1922926157407682937","2025-06-01T17:01:08.000Z","0","@hope_emak Baca dulu baru komen Kang, itu 1 buku RUU KUHAP rata2 isinya wewenang polisi sana advokat dan malah lebih sedikit wewenang kejaksaan","1929221688736260190","","hope_emak","in","","0","0","0","https://x.com/Politik_Korup/status/1929221688736260190","1064939016","Politik_Korup"
