"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1901735675113922650","2025-03-17T20:41:32.000Z","3909","Cuma 3 pasal kok yg direvisi, tapi simaklah yg direvisi di RUU TNI tersebut 🤨 https://t.co/MIuNl3cIWZ","1901735675113922650","https://pbs.twimg.com/ext_tw_video_thumb/1901735452975251456/pu/img/ngQODnNY8DRbZPem.jpg","","in","","30","74","1577","https://x.com/P3gEl/status/1901735675113922650","224431376","P3gEl"
"1901653915508277295","2025-03-17T15:16:39.000Z","5983","Akademisi, Budayawan, Aktivis sampai anak Alm Bung Hatta serukan Petisi Tolak RUU TNI.
Senin 17/3/2025 di kantor Yayasan LBHI, Jakarta Pusat.

#TolakRUUTNI 
#TolakRUUTNI https://t.co/AACpwYjXXs","1901653915508277295","https://pbs.twimg.com/ext_tw_video_thumb/1901653775275974656/pu/img/hbaY423tkWkyvcoW.jpg","","in","","29","79","2535","https://x.com/yaniarsim/status/1901653915508277295","929287558281830400","yaniarsim"
"1901661688245694708","2025-03-17T15:47:32.000Z","3856","Soal RUU TNI, SBY Konsisten Prajurit Harus Mundur Sebelum Menjabat Instansi Sipil | #SBY #RevisiUUTNI https://t.co/aKbJSAyzSj","1901661688245694708","https://pbs.twimg.com/ext_tw_video_thumb/1901661057363673088/pu/img/0XhBW58lnTnwE-eQ.jpg","","in","","47","85","1049","https://x.com/kompascom/status/1901661688245694708","23343960","kompascom"
"1901687914662449471","2025-03-17T18:33:51.000Z","20671","@kegblgnunfaedh Baru juga rapat Ruu TNI, langsung di buktiin betapa bobroknya aparat TNI kita. Emang allah itu selalu ada rencana buat ngebuktiin kekuasaannya","1901703545335992693","","kegblgnunfaedh","in","","32","44","2092","https://x.com/NDjaina/status/1901703545335992693","1683618820441919489","NDjaina"
"1901219392421249360","2025-03-16T10:30:00.000Z","1663","Pembahasan RUU TNI Khianati Janji Pemerintah di Forum HAM Internasional

https://t.co/xszAm6MMOO","1901219392421249360","","","in","","33","43","641","https://x.com/KompasTV/status/1901219392421249360","71436318","KompasTV"
"1901745798993588712","2025-03-17T21:21:45.000Z","62","Reaksi prabowo saat ditanya soal RUU TNI

Dadah dadah dan acungin jempol

#TolakRUUTNI https://t.co/LarO6W3sk9","1901745798993588712","https://pbs.twimg.com/ext_tw_video_thumb/1901745479907741696/pu/img/0mSle-cMxqGQQImb.jpg","","in","","4","14","23","https://x.com/MurtadhaOne1/status/1901745798993588712","1178950184601935873","MurtadhaOne1"
"1901668009074360336","2025-03-17T16:12:39.000Z","40","Perubahan Pasal 53 RUU TNI, Usia Pensiun Prajurit TNI Diperpanjang Sesuai Pangkat | #RUUTNI #RevisiUUTNI #SufmiDascoAhmad https://t.co/rBE824JQzH","1901668009074360336","https://pbs.twimg.com/ext_tw_video_thumb/1901667221111484416/pu/img/0-3SaNyn88XEz7UO.jpg","","in","","3","35","8","https://x.com/kompascom/status/1901668009074360336","23343960","kompascom"
"1901756049943851266","2025-03-17T22:02:29.000Z","93","Menolak RUU TNI, tapi @PDI_Perjuangan jadi ketua Panja. 

Menolak kenaikan PPN 12%, tapi @PDI_Perjuangan jadi ketua Panja &amp; ikut sahkan UU nya. 

Kagok edan ini mah. 😂😂😂😂😂 https://t.co/2gDz7uEmdk","1901756049943851266","https://pbs.twimg.com/media/GmRlCucawAAMNzv.jpg","","in","","4","11","46","https://x.com/frans_surya/status/1901756049943851266","216301495","frans_surya"
"1901663080070996336","2025-03-17T15:53:04.000Z","380","Pemenang menemukan jalan, pecundang menemukan alasan. 
Mau tahu alasan sungguhnya? Dukungan PDIP pada RUU TNI itu sebagai bagian dari upaya agar kasus2 korupsi para elite dan keluarganya bisa diselesaikan secara politik. https://t.co/Oz5spXhbBb","1901663080070996336","https://pbs.twimg.com/media/GmQQfjNaYAEC7lv.jpg","","in","","8","29","124","https://x.com/PartaiSocmed/status/1901663080070996336","869327120","PartaiSocmed"
"1901294888353960377","2025-03-16T15:30:00.000Z","62","Dosen Fakultas Hukum Universitas Brawijaya (UB) M Ali Safa'at mengkritik RUU TNI, Polri dan Kejaksaan. M Ali mengatakan jika lembaga negara diberi kekuasaan berpotensi adanya penyalahgunaan kekuasaan.

#detikcom #RUU #TNI #Polri #Kejaksaan https://t.co/QKQo5GsIMz","1901294888353960377","https://pbs.twimg.com/ext_tw_video_thumb/1901214982328745984/pu/img/xHw3WIHee_Z0daeQ.jpg","","in","","4","7","32","https://x.com/detikcom/status/1901294888353960377","69183155","detikcom"
